"id","Capital","Provincia","Latitud","Longitud"
1,"A Coruña","A Coruña","43,37012643","-8,39114853"
2,"Albacete","Albacete","38,99588053","-1,85574745"
3,"Alicante","Alicante","38,34548705","-0,4831832"
4,"Almería","Almería","36,83892362","-2,46413188"
5,"Ávila","Ávila","40,65586958","-4,69771277"
6,"Badajoz","Badajoz","38,87874339","-6,97099704"
7,"Barcelona","Barcelona","41,38424664","2,17634927"
8,"Bilbao","Vizcaya","43,25721957","-2,92390606"
9,"Burgos","Burgos","42,34113004","-3,70419805"
10,"Cáceres","Cáceres","39,47316762","-6,37121092"
11,"Cádiz","Cádiz","36,52171152","-6,28414575"
12,"Castellón","Castellón","39,98640809","-0,03688142"
13,"Ciudad Real","Ciudad Real","38,98651781","-3,93131981"
14,"Córdoba","Córdoba","37,87954225","-4,78032455"
15,"Cuenca","Cuenca","40,07653762","-2,13152306"
16,"Girona","Girona","41,98186075","2,82411899"
17,"Granada","Granada","37,17641932","-3,60001883"
18,"Guadalajara","Guadalajara","40,63435548","-3,16210273"
19,"Huelva","Huelva","37,26004113","-6,95040588"
20,"Huesca","Huesca","42,14062739","-0,40842276"
21,"Jaén","Jaén","37,7651913","-3,7903594"
22,"León","León","42,59912097","-5,56707631"
23,"Lleida","Lleida","41,61527355","0,62061934"
24,"Logroño","La Rioja","42,46644945","-2,44565538"
25,"Lugo","Lugo","43,0091282","-7,55817392"
26,"Madrid","Madrid","40,40841191","-3,68760088"
27,"Málaga","Málaga","36,72034267","-4,41997511"
28,"Murcia","Murcia","37,98436361","-1,1285408"
29,"Ourense","Ourense","42,33654919","-7,86368375"
30,"Oviedo","Asturias","43,36232165","-5,84372206"
31,"Palencia","Palencia","42,0078373","-4,53460106"
32,"Pamplona","Navarra","42,814102","-1,6451528"
33,"Pontevedra","Pontevedra","42,43381442","-8,64799018"
34,"Salamanca","Salamanca","40,96736822","-5,66538084"
35,"San Sebastián","Gipuzkoa","43,31717158","-1,98191785"
36,"Santander","Cantabria","43,46297885","-3,80474784"
37,"Segovia","Segovia","40,9498703","-4,12524116"
38,"Sevilla","Sevilla","37,38620512","-5,99251368"
39,"Soria","Soria","41,76327912","-2,46624798"
40,"Tarragona","Tarragona","41,11910287","1,2584219"
41,"Teruel","Teruel","40,34412951","-1,10927177"
42,"Toledo","Toledo","39,85715187","-4,02431421"
43,"Valencia","Valencia","39,47534441","-0,37565717"
44,"Valladolid","Valladolid","41,65232777","-4,72334924"
45,"Vitoria","Álava","42,85058789","-2,67275685"
46,"Zamora","Zamora","41,49913956","-5,75494831"
47,"Zaragoza","Zaragoza","41,65645655","-0,87928652"
48,"Lisboa","Lisboa","38.7169","-9.1395"
49,"Leiria","Leiria","39.7431","-8.8079"
50,"Santarém","Santarém","39.2336","-8.6875"
51,"Setúbal","Setúbal","38.5247","-8.8883"
52,"Beja","Beja","38.0150","-7.8619"
53,"Faro","Faro","37.0194","-7.9304"
54,"Évora","Évora","38.5725","-7.9135"
55,"Portalegre","Portalegre","39.2969","-7.4301"
56,"Castelo Branco","Castelo Branco","39.8208","-7.4931"
57,"Guarda","Guarda","40.5375","-7.2625"
58,"Coímbra","Coímbra","40.2056","-8.4291"
59,"Aveiro","Aveiro","40.6400","-8.6538"
60,"Viseu","Viseu","40.6400","-7.9090"
61,"Bragança","Bragança","41.8033","-6.7594"
62,"Vila Real","Vila Real","41.3000","-7.7461"
63,"Oporto","Porto","41.1496","-8.6110"
64,"Braga","Braga","41.5503","-8.4200"
65,"Viana do Castelo","Viana do Castelo","41.6902","-8.8265"
66,"Andorra la Vella","Andorra","42.5078","1.5211"
67,"Mataró","Mataró","41.5381","2.4445"
