Identificador,Fecha del pedido,Identificador cliente,Cantidad,id producto
1,2024-12-06,50,10,10
2,2024-12-06,33,10,18
3,2024-12-06,20,19,6
4,2024-12-06,58,19,3
5,2024-12-06,30,16,15
6,2024-12-06,32,5,12
7,2024-12-06,53,15,19
8,2024-12-06,49,18,10
9,2024-12-06,47,16,14
10,2024-12-06,24,12,9
11,2024-12-06,22,11,15
12,2024-12-06,7,18,10
13,2024-12-06,52,18,7
14,2024-12-06,45,13,13
15,2024-12-06,55,15,16
16,2024-12-06,60,11,4
17,2024-12-06,17,7,8
18,2024-12-06,1,8,13
19,2024-12-06,26,19,19
20,2024-12-06,56,13,12
21,2024-12-06,55,8,19
22,2024-12-06,36,14,10
23,2024-12-06,36,2,10
24,2024-12-06,7,11,1
25,2024-12-06,61,16,13
26,2024-12-06,20,13,9
27,2024-12-06,55,13,1
28,2024-12-06,21,5,19
29,2024-12-06,12,16,2
30,2024-12-06,47,2,20
31,2024-12-06,6,5,16
32,2024-12-06,34,17,10
33,2024-12-06,13,19,8
34,2024-12-06,46,11,20
35,2024-12-06,10,4,12
36,2024-12-06,34,15,8
37,2024-12-06,18,4,7
38,2024-12-06,47,17,20
39,2024-12-06,38,15,9
40,2024-12-06,47,1,5
41,2024-12-06,21,5,4
42,2024-12-06,5,14,2
43,2024-12-06,45,5,10
44,2024-12-06,57,3,15
45,2024-12-06,48,16,2
46,2024-12-06,66,9,19
47,2024-12-06,17,11,12
48,2024-12-06,1,20,5
49,2024-12-06,10,13,3
50,2024-12-06,2,3,10
51,2024-12-06,29,11,11
52,2024-12-06,4,18,14
53,2024-12-06,5,13,6
54,2024-12-06,52,11,7
55,2024-12-06,40,16,5
56,2024-12-06,14,18,18
57,2024-12-06,34,2,12
58,2024-12-06,59,20,17
59,2024-12-06,50,3,17
60,2024-12-06,38,8,9
61,2024-12-06,52,10,6
62,2024-12-06,32,8,9
63,2024-12-06,13,3,16
64,2024-12-06,61,14,10
65,2024-12-06,27,4,11
66,2024-12-06,66,4,4
67,2024-12-06,56,15,15
68,2024-12-06,16,6,3
69,2024-12-06,44,10,5
70,2024-12-06,54,1,8
71,2024-12-06,14,2,13
72,2024-12-06,9,11,18
73,2024-12-06,37,2,12
74,2024-12-06,26,10,3
75,2024-12-06,21,12,13
76,2024-12-06,65,12,1
77,2024-12-06,66,14,9
78,2024-12-06,66,5,18
79,2024-12-06,8,8,4
80,2024-12-06,11,17,15
81,2024-12-06,32,14,12
82,2024-12-06,9,19,9
83,2024-12-06,18,6,19
84,2024-12-06,60,6,13
85,2024-12-06,46,6,12
86,2024-12-06,56,3,4
87,2024-12-06,27,20,8
88,2024-12-06,51,13,16
89,2024-12-06,57,20,1
90,2024-12-06,8,8,20
91,2024-12-06,35,16,18
92,2024-12-06,26,19,11
93,2024-12-06,20,5,20
94,2024-12-06,9,8,8
95,2024-12-06,62,15,3
96,2024-12-06,41,9,15
97,2024-12-06,8,15,10
98,2024-12-06,26,9,14
99,2024-12-06,61,1,4
100,2024-12-06,30,15,5
