Identificador del producto,Nombre,Precio Venta,Tiempo de fabricación (días),Caducidad desde su fabricación (días)
1,Producto 1,66.83,14,74
2,Producto 2,75.37,5,354
3,Producto 3,47.98,14,46
4,Producto 4,43.57,9,170
5,Producto 5,99.35,6,177
6,Producto 6,39.55,14,340
7,Producto 7,79.57,3,226
8,Producto 8,71.32,3,172
9,Producto 9,85.88,9,215
10,Producto 10,41.17,12,109
11,Producto 11,7.06,14,157
12,Producto 12,36.34,6,214
13,Producto 13,17.18,5,103
14,Producto 14,35.62,4,59
15,Producto 15,80.82,2,343
16,Producto 16,74.98,7,274
17,Producto 17,44.11,1,312
18,Producto 18,29.77,2,280
19,Producto 19,30.72,3,146
20,Producto 20,36.4,7,103
21,Producto 21,77.38,13,232
22,Producto 22,62.63,3,258
23,Producto 23,49.13,6,144
24,Producto 24,35.25,2,257
25,Producto 25,93.75,14,290
26,Producto 26,51.54,3,269
27,Producto 27,50.27,3,142
28,Producto 28,31.16,12,87
29,Producto 29,20.83,10,315
30,Producto 30,91.11,3,319
31,Producto 31,51.02,13,130
32,Producto 32,84.92,3,285
33,Producto 33,39.48,3,58
34,Producto 34,85.57,8,283
35,Producto 35,87.01,3,293
36,Producto 36,67.16,2,184
37,Producto 37,54.93,6,159
38,Producto 38,46.66,12,238
39,Producto 39,92.07,14,227
40,Producto 40,33.45,6,203
41,Producto 41,61.91,9,313
42,Producto 42,99.62,9,318
43,Producto 43,85.91,8,245
44,Producto 44,60.76,10,246
45,Producto 45,62.09,2,166
46,Producto 46,49.38,7,71
47,Producto 47,18.54,14,204
48,Producto 48,62.78,2,224
49,Producto 49,15.96,5,222
50,Producto 50,95.2,6,178
